timestamps,X,Y,Z
1748875241.045,-3.148,4.127,0.636
1748875241.092,-3.013,3.843,0.606
1748875241.092,-3.103,3.970,0.568
1748875241.092,-3.574,4.351,0.665
1748875241.164,-3.888,4.456,0.740
1748875241.164,-3.903,4.651,0.628
1748875241.164,-4.651,4.748,1.241
1748875241.226,-5.316,5.219,1.660
1748875241.226,-5.630,5.705,1.712
1748875241.226,-5.854,5.802,1.854
1748875241.272,-5.690,5.264,1.675
1748875241.272,-5.226,4.882,1.443
1748875241.272,-4.830,4.793,1.323
1748875241.345,-4.247,4.673,0.972
1748875241.345,-3.925,4.613,0.785
1748875241.345,-3.761,4.299,0.927
1748875241.404,-3.073,4.060,0.688
1748875241.404,-3.006,4.052,0.621
1748875241.404,-3.656,4.322,0.942
1748875241.464,-4.344,4.636,0.950
1748875241.464,-4.553,4.845,1.114
1748875241.464,-4.486,4.740,1.226
1748875241.514,-5.077,4.950,1.256
1748875241.514,-5.742,5.286,1.690
1748875241.514,-6.019,5.593,1.892
1748875241.569,-5.533,5.181,1.548
1748875241.569,-4.740,4.710,1.264
1748875241.569,-3.978,4.239,0.912
1748875241.646,-3.387,4.157,0.643
1748875241.646,-3.499,4.314,0.695
1748875241.646,-3.454,4.366,0.815
1748875241.705,-3.507,4.419,0.755
1748875241.705,-3.365,4.037,0.516
1748875241.705,-3.641,4.366,0.852
1748875241.750,-4.411,4.778,1.077
1748875241.750,-5.002,5.166,1.518
1748875241.750,-5.152,5.323,1.593
1748875241.809,-5.107,5.204,1.495
1748875241.809,-4.957,5.062,1.510
1748875241.809,-4.987,5.084,1.331
1748875241.869,-4.830,5.181,1.308
1748875241.869,-4.658,5.039,1.256
1748875241.869,-4.494,4.643,1.241
1748875241.932,-3.529,4.194,0.800
1748875241.932,-3.477,4.381,0.897
1748875241.932,-4.165,4.837,1.286
1748875241.989,-4.307,4.643,1.211
1748875241.989,-3.701,4.890,0.411
1748875241.989,-4.008,4.748,0.830
1748875242.049,-4.621,4.688,1.323
1748875242.049,-4.486,4.613,1.331
1748875242.049,-4.030,4.718,0.770
1748875242.126,-4.411,4.987,1.054
1748875242.126,-4.890,4.980,1.383
1748875242.126,-4.344,4.591,1.136
1748875242.171,-3.866,4.329,0.905
1748875242.171,-3.791,4.651,0.725
1748875242.171,-4.411,4.830,1.211
1748875242.231,-4.830,4.845,1.533
1748875242.231,-4.464,4.912,1.062
1748875242.231,-3.851,4.808,0.733
1748875242.289,-4.090,4.501,1.151
