timestamps,X,Y,Z
1748875230.351,20.382,-93.550,-17.488
1748875230.409,28.599,-131.816,-22.931
1748875230.409,-10.378,-150.822,-23.245
1748875230.409,-45.108,-169.155,-15.784
1748875230.469,-65.968,-175.032,-0.815
1748875230.469,-102.671,-141.297,13.436
1748875230.469,-112.825,-112.945,27.582
1748875230.529,-92.361,-103.180,29.436
1748875230.529,-81.206,-102.006,25.159
1748875230.529,-73.938,-111.606,22.042
1748875230.592,-65.796,-116.758,15.447
1748875230.592,-52.719,-120.145,0.239
1748875230.592,-28.023,-139.083,-17.967
1748875230.649,-24.666,-150.515,-20.165
1748875230.649,-26.730,-139.547,-3.469
1748875230.649,-35.485,-113.229,12.083
1748875230.709,-34.849,-84.824,14.752
1748875230.709,-29.720,-51.014,6.355
1748875230.709,-19.888,-15.911,-0.897
1748875230.769,-13.705,20.800,-6.752
1748875230.769,-5.570,47.052,-9.032
1748875230.769,7.701,64.757,-6.273
1748875230.831,18.303,86.544,-6.580
1748875230.831,34.513,111.225,-11.432
1748875230.831,51.926,138.082,-19.634
1748875230.889,59.381,167.346,-26.498
1748875230.889,75.553,175.884,-33.474
1748875230.889,101.894,165.334,-38.685
1748875230.949,79.067,136.736,-28.659
1748875230.949,47.044,84.720,-8.202
1748875230.949,39.627,67.366,4.456
1748875231.012,23.081,71.411,2.886
1748875231.012,1.772,77.333,1.465
1748875231.012,5.757,73.916,5.817
1748875231.070,5.189,70.050,14.169
1748875231.070,-4.576,60.973,19.896
1748875231.070,-17.795,56.562,18.984
1748875231.129,-33.347,50.087,18.647
1748875231.129,-35.373,32.711,19.365
1748875231.129,-35.066,21.810,15.126
1748875231.189,-47.762,40.592,14.139
1748875231.189,-37.085,52.966,2.475
1748875231.189,-15.881,49.773,-11.469
1748875231.251,15.380,43.044,-33.115
1748875231.251,32.711,27.290,-37.795
1748875231.251,28.045,3.948,-26.064
1748875231.309,21.772,-13.555,-16.165
1748875231.309,10.445,-15.731,-19.432
