timestamps,TP9,AF7,AF8,TP10,Right AUX
1748874952.977,510.742,406.738,274.902,155.273,0.000
1748874952.981,-795.898,-782.227,-768.066,-1000.000,0.000
1748874952.985,149.902,145.996,163.574,-1000.000,0.000
1748874952.989,-1000.000,-1000.000,-1000.000,-59.082,0.000
1748874952.993,-1000.000,-1000.000,-1000.000,-781.250,0.000
1748874952.997,154.297,95.215,-144.043,354.004,0.000
1748874953.001,-762.207,-762.207,-800.781,-938.477,0.000
1748874953.004,145.996,245.605,294.922,-1000.000,0.000
1748874953.008,-1000.000,-1000.000,-998.535,-235.352,0.000
1748874953.012,-1000.000,-1000.000,-1000.000,-895.020,0.000
1748874953.016,27.344,-43.945,-149.902,571.777,0.000
1748874953.020,-792.969,-814.941,-851.562,-776.855,0.000
1748874953.024,364.258,434.082,478.516,-1000.000,0.000
1748874953.028,-931.152,-905.762,-879.395,-202.148,0.000
1748874953.032,-1000.000,-1000.000,-1000.000,-951.172,0.000
1748874953.036,-247.070,-235.840,-208.008,916.992,0.000
1748874953.040,-856.934,-881.348,-953.125,-383.789,0.000
1748874953.044,0.000,676.758,919.922,-1000.000,0.000
1748874953.047,0.000,-718.750,-362.793,-171.387,0.000
1748874953.051,0.000,-1000.000,-1000.000,-996.094,0.000
1748874953.055,0.000,-194.824,-198.730,-956.543,0.000
1748874953.059,0.000,-958.496,-991.699,-71.289,0.000
1748874953.063,0.000,938.477,-976.074,-1000.000,0.000
1748874953.067,0.000,-341.309,-140.137,-366.211,0.000
1748874953.071,0.000,-1000.000,-1000.000,918.457,0.000
1748874953.075,0.000,-206.055,-506.348,-895.508,0.000
1748874953.079,0.000,988.281,865.234,120.117,0.000
1748874953.083,0.000,-942.871,-904.785,-1000.000,0.000
1748874953.086,0.000,-36.621,-106.934,-541.504,0.000
1748874953.090,-1000.000,-1000.000,0.000,833.984,0.000
1748874953.094,-364.746,-358.398,0.000,-858.887,0.000
1748874953.098,922.363,918.945,0.000,192.383,0.000
1748874953.102,-910.156,-893.555,0.000,-1000.000,0.000
1748874953.106,17.090,184.570,0.000,-804.199,0.000
1748874953.110,-1000.000,-1000.000,0.000,563.965,0.000
1748874953.114,-552.734,-564.453,0.000,-804.199,0.000
1748874953.118,810.547,830.078,0.000,154.297,0.000
1748874953.122,-852.051,-856.934,0.000,-1000.000,0.000
1748874953.126,186.523,187.500,0.000,-1000.000,0.000
1748874953.129,-1000.000,-1000.000,0.000,191.895,0.000
1748874953.133,-844.727,-844.727,0.000,-761.230,0.000
1748874953.137,510.742,510.742,266.113,240.723,0.000
1748874953.141,-795.898,-794.922,-768.555,-996.094,0.000
1748874953.145,149.902,149.902,169.922,-1000.000,0.000
1748874953.149,-1000.000,-1000.000,-1000.000,-18.555,0.000
1748874953.153,-1000.000,-1000.000,-1000.000,-785.645,0.000
1748874953.157,154.297,148.438,-61.035,430.664,0.000
1748874953.161,-760.254,-757.324,-785.645,-899.902,0.000
1748874953.165,139.160,237.793,276.855,-1000.000,0.000
1748874953.168,-1000.000,-990.723,-976.562,-189.453,0.000
1748874953.172,-1000.000,-1000.000,-1000.000,-872.559,0.000
1748874953.176,-60.547,-78.125,-226.074,684.082,0.000
1748874953.180,-780.762,-793.945,-830.566,-700.195,0.000
1748874953.184,0.000,430.176,437.012,-1000.000,0.000
1748874953.188,0.000,-902.832,-915.039,-196.289,0.000
1748874953.192,0.000,-1000.000,-1000.000,-954.590,0.000
1748874953.196,0.000,-235.352,-215.332,928.711,0.000
1748874953.200,0.000,-881.348,-939.453,-366.211,0.000
1748874953.204,0.000,677.734,874.023,-1000.000,0.000
1748874953.208,0.000,-717.773,-432.617,-174.316,0.000
1748874953.211,0.000,-1000.000,-1000.000,-988.770,0.000
1748874953.215,0.000,-198.242,-186.523,-968.262,0.000
1748874953.219,0.000,-949.707,-989.746,-115.234,0.000
1748874953.223,0.000,911.133,-975.098,-1000.000,0.000
1748874953.227,0.000,-383.301,-137.695,-369.629,0.000
1748874953.231,-1000.000,-1000.000,-1000.000,926.270,0.000
1748874953.235,-179.199,-238.770,-450.195,-909.668,0.000
1748874953.239,-985.840,983.398,891.602,17.090,0.000
1748874953.243,-983.887,-951.660,-909.668,-1000.000,0.000
1748874953.247,-173.340,-89.355,-67.383,-552.246,0.000
1748874953.251,-1000.000,-1000.000,-1000.000,811.523,0.000
1748874953.254,-364.746,-434.570,-605.469,-851.562,0.000
1748874953.258,922.363,884.277,762.695,186.523,0.000
1748874953.262,-910.156,-885.742,-856.445,-1000.000,0.000
1748874953.266,17.090,83.984,35.156,-844.727,0.000
1748874953.270,-1000.000,-1000.000,-1000.000,510.742,0.000
1748874953.274,-552.734,-661.621,-817.871,-795.410,0.000
1748874953.278,811.035,708.984,510.742,149.902,0.000
1748874953.282,-852.051,-830.566,-799.805,-1000.000,0.000
1748874953.286,186.523,175.293,125.977,-1000.000,0.000
1748874953.290,-1000.000,-1000.000,-1000.000,150.879,0.000
1748874953.293,-844.727,-903.320,-1000.000,-758.789,0.000
1748874953.297,510.254,420.410,215.332,201.172,0.000
1748874953.301,-795.898,-784.180,-766.113,-1000.000,0.000
1748874953.305,149.902,146.973,152.832,-1000.000,0.000
1748874953.309,-1000.000,-1000.000,-1000.000,-43.945,0.000
1748874953.313,-1000.000,-1000.000,-1000.000,-789.062,0.000
1748874953.317,153.809,105.469,-149.902,419.434,0.000
1748874953.321,-760.254,-760.742,-799.805,-950.684,0.000
1748874953.325,0.000,224.609,0.000,0.000,0.000
1748874953.329,0.000,-998.535,0.000,0.000,0.000
1748874953.333,0.000,-1000.000,0.000,0.000,0.000
1748874953.336,0.000,-10.254,0.000,0.000,0.000
1748874953.340,0.000,-925.293,0.000,0.000,0.000
1748874953.344,0.000,932.129,0.000,0.000,0.000
1748874953.348,0.000,972.656,0.000,0.000,0.000
1748874953.352,0.000,900.391,0.000,0.000,0.000
1748874953.356,0.000,-909.180,0.000,0.000,0.000
1748874953.360,0.000,616.699,0.000,0.000,0.000
1748874953.364,0.000,-1000.000,0.000,0.000,0.000
1748874953.368,0.000,-269.043,0.000,0.000,0.000
1748874953.372,-950.195,-963.379,961.914,791.016,0.000
1748874953.376,-942.871,-936.035,-922.852,267.090,0.000
1748874953.379,242.676,237.793,-4.395,-1000.000,0.000
1748874953.383,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.387,-398.438,-536.621,-861.816,-909.180,0.000
1748874953.391,931.152,854.004,458.496,659.180,0.000
1748874953.395,-895.508,-863.770,-812.012,662.109,0.000
1748874953.399,211.914,186.523,-92.285,-903.809,0.000
1748874953.403,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.407,-719.238,-873.535,-1000.000,-831.055,0.000
1748874953.411,674.316,463.867,-140.137,513.672,0.000
1748874953.415,-820.801,-789.062,-816.895,-860.352,0.000
1748874953.418,152.832,144.531,60.059,-244.629,0.000
1748874953.422,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.426,-1000.000,-1000.000,-1000.000,-923.828,0.000
1748874953.430,172.852,82.031,-223.633,336.426,0.000
1748874953.434,-815.430,-762.695,-883.301,-833.496,0.000
1748874953.438,43.945,133.789,42.480,-38.086,0.000
1748874953.442,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.446,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.450,-155.273,-232.910,-269.043,165.527,0.000
1748874953.454,-798.828,-819.336,-832.031,-760.742,0.000
1748874953.458,158.203,169.922,201.660,145.996,0.000
1748874953.461,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.465,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.469,-254.883,-264.160,-272.461,48.828,0.000
1748874953.473,-826.172,-826.660,-831.543,-765.625,0.000
1748874953.477,172.363,358.887,311.035,213.379,0.000
1748874953.481,-1000.000,-963.867,-983.887,-1000.000,0.000
1748874953.485,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.489,-266.602,-245.605,-263.184,-56.641,0.000
1748874953.493,-834.473,-870.117,-881.836,-790.039,0.000
1748874953.497,461.914,640.625,589.844,442.383,0.000
1748874953.500,-912.109,-758.301,-741.699,-902.832,0.000
1748874953.504,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.508,-233.887,-208.496,-289.062,-133.789,0.000
1748874953.512,-885.254,-926.270,975.098,-895.508,0.000
1748874953.516,689.941,836.426,-999.512,803.223,0.000
1748874953.520,-703.613,-505.371,-184.570,-532.715,0.000
1748874953.524,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.528,-208.984,-185.547,-494.141,-178.711,0.000
1748874953.532,-919.922,-968.750,866.699,-985.352,0.000
1748874953.536,815.430,975.586,-903.809,-974.121,0.000
1748874953.540,-539.551,-262.207,-83.008,-183.105,0.000
1748874953.543,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.547,-166.992,-261.230,-521.973,-172.363,0.000
1748874953.551,992.188,958.984,832.520,-994.141,0.000
1748874953.555,-943.848,-920.898,-874.023,-948.730,0.000
1748874953.559,-16.602,51.270,76.660,-27.832,0.000
1748874953.563,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.567,-308.105,-445.801,-620.117,-377.441,0.000
1748874953.571,937.988,881.836,754.883,931.641,0.000
1748874953.575,-898.926,-876.953,-847.656,-910.156,0.000
1748874953.579,226.562,194.336,176.758,7.812,0.000
1748874953.583,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.586,-491.699,-740.234,-785.645,-708.008,0.000
1748874953.590,882.812,642.578,563.965,674.805,0.000
1748874953.594,-876.953,-817.383,-812.988,-831.543,0.000
1748874953.598,204.590,160.645,273.438,-65.918,0.000
1748874953.602,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.606,-719.238,-1000.000,-923.828,-1000.000,0.000
1748874953.610,674.316,255.371,390.625,-33.691,0.000
1748874953.614,-830.078,-771.484,-791.504,-799.805,0.000
1748874953.618,187.012,156.250,297.852,-57.129,0.000
1748874953.622,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.625,-799.805,-984.375,-976.562,-1000.000,0.000
1748874953.629,584.961,193.848,188.965,-62.988,0.000
1748874953.633,-801.270,-788.574,-814.453,-869.141,0.000
1748874953.637,247.070,141.602,345.703,-84.961,0.000
1748874953.641,-1000.000,-1000.000,-934.082,-1000.000,0.000
1748874953.645,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.649,151.855,-186.035,-189.453,-268.555,0.000
1748874953.653,-764.648,-804.199,-912.598,-823.730,0.000
1748874953.657,335.449,258.301,757.812,103.516,0.000
1748874953.661,-951.660,-997.070,-517.578,-1000.000,0.000
1748874953.665,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.668,-46.387,-258.301,-170.410,-672.852,0.000
1748874953.672,-804.688,-838.867,-991.699,-205.078,0.000
1748874953.676,529.297,479.492,-956.543,-984.863,0.000
1748874953.680,-848.633,-900.391,-81.543,-983.398,0.000
1748874953.684,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.688,-125.488,-236.816,-183.594,-784.668,0.000
1748874953.692,-860.352,-870.117,-984.863,855.957,0.000
1748874953.696,675.293,625.000,-946.289,155.273,0.000
1748874953.700,-695.801,-770.996,-56.641,-1000.000,0.000
1748874953.704,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.708,-174.316,-215.820,-190.918,-563.965,0.000
1748874953.711,996.094,-998.047,992.188,-955.078,0.000
1748874953.715,-947.754,-982.910,-925.781,499.512,0.000
1748874953.719,-81.543,-182.129,119.629,-931.641,0.000
1748874953.723,-1000.000,-1000.000,-1000.000,-1000.000,0.000
1748874953.727,-164.551,-270.508,-345.215,-722.656,0.000
1748874953.731,-947.266,-993.164,-998.535,763.184,0.000
1748874953.735,933.594,952.148,957.520,913.574,0.000
1748874953.739,925.781,919.922,894.531,-600.586,0.000
1748874953.743,990.723,997.559,-999.512,-1000.000,0.000
1748874953.747,-39.062,-83.984,-28.320,-251.953,0.000
1748874953.750,-1000.000,-1000.000,-1000.000,829.102,0.000
1748874953.754,-828.613,-1000.000,-1000.000,-871.094,0.000
1748874953.758,497.070,192.871,107.422,199.707,0.000
1748874953.762,-792.969,-760.254,-767.090,-1000.000,0.000
1748874953.766,149.902,139.648,159.180,-839.355,0.000
1748874953.770,-1000.000,-1000.000,-1000.000,504.883,0.000
1748874953.774,-1000.000,-1000.000,-1000.000,-790.527,0.000
1748874953.778,154.297,-33.203,-216.309,240.234,0.000
